Species_ID,
Akodon_paranaensis,'Akodon paranaensis MN 69675.JPG'
Akodon_paranaensis,'Akodon paranaensis MN 69676.JPG'
Akodon_paranaensis,'Akodon paranaensis MN 69677.JPG'
Akodon_paranaensis,'Akodon paranaensis MN 69679.JPG'
Akodon_reigi,'Akodon reigi MN 62119.JPG'
Akodon_reigi,'Akodon reigi MN 62120.JPG'
Akodon_siberiae,'Akodon siberiae AMNH 260423.JPG'
Akodon_siberiae,'Akodon siberiae AMNH 260424.JPG'
Akodon_siberiae,'Akodon siberiae AMNH 260425.JPG'
Akodon_siberiae,'Akodon siberiae AMNH 260426.JPG'
Akodon_siberiae,'Akodon siberiae AMNH 260427.JPG'
Akodon_siberiae,'Akodon siberiae AMNH 260428.JPG'
Akodon_siberiae,'Akodon siberiae AMNH 260430.JPG'
Akodon_siberiae,'Akodon siberiae AMNH 260431.JPG'
Akodon_siberiae,'Akodon siberiae AMNH 260434.JPG'
Akodon_siberiae,'Akodon siberiae AMNH 260578.JPG'
Akodon_siberiae,'Akodon siberiae AMNH 260579.JPG'
Akodon_siberiae,'Akodon siberiae AMNH 260594.JPG'
Akodon_simulator,'Akodon simulator FMNH 29134.JPG'
Akodon_simulator,'Akodon simulator FMNH 30109.JPG'
Akodon_simulator,'Akodon simulator FMNH 30110.JPG'
Akodon_simulator,'Akodon simulator FMNH 30112.JPG'
Akodon_simulator,'Akodon simulator FMNH 30115.JPG'
Akodon_simulator,'Akodon simulator FMNH 30117.JPG'
Akodon_simulator,'Akodon simulator FMNH 30119.JPG'
Akodon_simulator,'Akodon simulator FMNH 30120.JPG'
Akodon_simulator,'Akodon simulator FMNH 30122.JPG'
Akodon_simulator,'Akodon simulator FMNH 30123.JPG'
Akodon_simulator,'Akodon simulator FMNH 30128.JPG'
Akodon_simulator,'Akodon simulator FMNH 30131.JPG'
Akodon_simulator,'Akodon simulator FMNH 30132.JPG'
Akodon_simulator,'Akodon simulator FMNH 35249.JPG'
Akodon_spegazzinii,'Akodon spegazzinii USNM 259280.JPG'
Akodon_spegazzinii,'Akodon spegazzinii USNM 259632.JPG'
Akodon_spegazzinii,'Akodon spegazzinii USNM 259633.JPG'
Akodon_subfuscus,'Akodon subfuscus FMNH 107750.JPG'
Akodon_subfuscus,'Akodon subfuscus FMNH 107753.JPG'
Akodon_subfuscus,'Akodon subfuscus FMNH 107760.JPG'
Akodon_subfuscus,'Akodon subfuscus FMNH 107794.JPG'
Akodon_subfuscus,'Akodon subfuscus FMNH 107810.JPG'
Akodon_subfuscus,'Akodon subfuscus FMNH 107817.JPG'
Akodon_subfuscus,'Akodon subfuscus FMNH 107826.JPG'
Akodon_subfuscus,'Akodon subfuscus FMNH 75523.JPG'
Akodon_subfuscus,'Akodon subfuscus FMNH 75524.JPG'
Akodon_subfuscus,'Akodon subfuscus FMNH 75525.JPG'
Akodon_subfuscus,'Akodon subfuscus FMNH 75527.JPG'
Akodon_subfuscus,'Akodon subfuscus FMNH 75531.JPG'
Akodon_subfuscus,'Akodon subfuscus FMNH 75532.JPG'
Akodon_subfuscus,'Akodon subfuscus FMNH 75550.JPG'
Akodon_sylvanus,'Akodon sylvanus AMNH 264272.TPS'
Akodon_toba,'Akodon toba FMNH 157165.JPG'
Akodon_toba,'Akodon toba FMNH 157179.JPG'
Akodon_toba,'Akodon toba FMNH 157182.JPG'
Akodon_toba,'Akodon toba FMNH 157186.JPG'
Akodon_toba,'Akodon toba FMNH 157187.JPG'
Akodon_toba,'Akodon toba FMNH 157188.JPG'
Akodon_toba,'Akodon toba FMNH 157195.JPG'
Akodon_toba,'Akodon toba FMNH 157201.JPG'
Akodon_toba,'Akodon toba FMNH 157209.JPG'
Akodon_toba,'Akodon toba FMNH 164101.JPG'
Akodon_toba,'Akodon toba FMNH 164136.JPG'
Akodon_toba,'Akodon toba FMNH 164159.JPG'
Akodon_toba,'Akodon toba FMNH 164160.JPG'
Akodon_toba,'Akodon toba FMNH 164161.JPG'
Akodon_toba,'Akodon toba FMNH 164164.JPG'
Akodon_toba,'Akodon toba FMNH 164168.JPG'
Akodon_toba,'Akodon toba FMNH 164170.JPG'
Akodon_toba,'Akodon toba FMNH 164173.JPG'
Akodon_toba,'Akodon toba FMNH 164179.JPG'
Akodon_toba,'Akodon toba FMNH 164183.JPG'
Akodon_torques,'Akodon torques FMNH 170501.JPG'
Akodon_torques,'Akodon torques FMNH 170506.JPG'
Akodon_torques,'Akodon torques FMNH 170508.JPG'
Akodon_torques,'Akodon torques FMNH 170509.JPG'
Akodon_torques,'Akodon torques FMNH 170510.JPG'
Akodon_torques,'Akodon torques FMNH 170511.JPG'
Akodon_torques,'Akodon torques FMNH 170517.JPG'
Akodon_torques,'Akodon torques FMNH 170523.JPG'
Akodon_torques,'Akodon torques FMNH 170524.JPG'
Akodon_torques,'Akodon torques FMNH 171861.JPG'
Akodon_torques,'Akodon torques FMNH 172221.JPG'
Akodon_torques,'Akodon torques FMNH 172231.JPG'
Akodon_torques,'Akodon torques FMNH 172233.JPG'
Akodon_torques,'Akodon torques FMNH 43367.JPG'
Akodon_torques,'Akodon torques FMNH 43368.JPG'
Akodon_torques,'Akodon torques FMNH 43369.JPG'
Akodon_torques,'Akodon torques FMNH 78707.JPG'
Akodon_torques,'Akodon torques FMNH 78708.JPG'
Akodon_varius,'Akodon varius AMNH 38667.JPG'
Akodon_varius,'Akodon varius AMNH 38670.JPG'
Akodon_varius,'Akodon varius AMNH 38674.JPG'
Akodon_varius,'Akodon varius AMNH 38675.JPG'
Bibimys_chacoensis,'Bibimys chacoensis USNM 236239.JPG'
Bibimys_labiosus,'Bibimys labiosus MCNM 2829.JPG'
Bibimys_labiosus,'Bibimys labiosus MCNM 2839.JPG'
Bibimys_labiosus,'Bibimys labiosus MN 62601.JPG'
Bibimys_labiosus,'Bibimys labiosus MZUFV 753.JPG'
Bibimys_labiosus,'Bibimys labiosus PRG 1034.JPG'
Bibimys_labiosus,'Bibimys labiosus PRG 210.JPG'
Blarinomys_breviceps,'Blarinomys breviceps MCNM 1377.JPG'
Blarinomys_breviceps,'Blarinomys breviceps MCNM 1472.JPG'
Blarinomys_breviceps,'Blarinomys breviceps MCNM 2534.JPG'
Blarinomys_breviceps,'Blarinomys breviceps MCNM 2747.JPG'
Blarinomys_breviceps,'Blarinomys breviceps MCNM 2837.JPG'
Blarinomys_breviceps,'Blarinomys breviceps MCNM 2983.JPG'
Blarinomys_breviceps,'Blarinomys breviceps MN 29445.JPG'
Blarinomys_breviceps,'Blarinomys breviceps MN 68882.JPG'
Blarinomys_breviceps,'Blarinomys breviceps MN 70223.JPG'
Blarinomys_breviceps,'Blarinomys breviceps MN 70224.JPG'
Blarinomys_breviceps,'Blarinomys breviceps MN 70226.2.tif'
Blarinomys_breviceps,'Blarinomys breviceps MN 77786.JPG'
Brucepattersonius_soricinus,'Brucepattersonius soricinus FMNH 230356.JPG'
Brucepattersonius_soricinus,'Brucepattersonius soricinus FMNH 94499.JPG'
Brucepattersonius_soricinus,'Brucepattersonius soricinus type FMNH 94480.JPG'
Castoria_angustidens,'Castoria angustidens FMNH 230337.JPG'
Castoria_angustidens,'Castoria angustidens FMNH 230340.JPG'
Castoria_angustidens,'Castoria angustidens FMNH 230341.JPG'
Castoria_angustidens,'Castoria angustidens FMNH 230345.JPG'
Castoria_angustidens,'Castoria angustidens FMNH 230346.JPG'
Castoria_angustidens,'Castoria angustidens FMNH 230348.JPG'
Castoria_angustidens,'Castoria angustidens FMNH 230349.JPG'
Castoria_angustidens,'Castoria angustidens FMNH 230350.JPG'
Castoria_angustidens,'Castoria angustidens FMNH 230351.JPG'
Castoria_angustidens,'Castoria angustidens FMNH 230352.JPG'
Castoria_angustidens,'Castoria angustidens FMNH 230353.JPG'
Deltamys_kempi,'Deltamys kempi AMNH 206097.JPG'
Deltamys_kempi,'Deltamys kempi AMNH 206102.JPG'
Deltamys_kempi,'Deltamys kempi AMNH 206115.JPG'
Deltamys_kempi,'Deltamys kempi AMNH 206117.JPG'
Deltamys_kempi,'Deltamys kempi AMNH 206118.JPG'
Deltamys_kempi,'Deltamys kempi AMNH 206119.JPG'
Deltamys_kempi,'Deltamys kempi AMNH 206120.JPG'
Deltamys_kempi,'Deltamys kempi AMNH 206121.JPG'
Deltamys_kempi,'Deltamys kempi AMNH 206139.JPG'
Deltamys_kempi,'Deltamys kempi AMNH 206140.JPG'
Deltamys_kempi,'Deltamys kempi AMNH 206142.JPG'
Deltamys_kempi,'Deltamys kempi AMNH 206157.JPG'
Deltamys_kempi,'Deltamys kempi AMNH 206158.JPG'
Deltamys_kempi,'Deltamys kempi AMNH 206159.JPG'
Deltamys_kempi,'Deltamys kempi AMNH 206161.JPG'
Deltamys_kempi,'Deltamys kempi AMNH 206163.JPG'
Deltamys_kempi,'Deltamys kempi AMNH 206164.JPG'
Deltamys_kempi,'Deltamys kempi AMNH 206165.JPG'
Deltamys_kempi,'Deltamys kempi MN 42090.2.tif'
Deltamys_kempi,'Deltamys kempi MN 42091.JPG'
Deltamys_kempi,'Deltamys kempi MN 42092.2.tif'
Deltamys_kempi,'Deltamys kempi MN 42097.2.tif'
Deltamys_kempi,'Deltamys kempi MN 42098.2.tif'
Deltamys_kempi,'Deltamys kempi MN 42099.2.tif'
Juscelinomys_huanchacae,'Juscelinomys huanchacae USNM 584508.JPG'
Juscelinomys_huanchacae,'Juscelinomys huanchacae USNM 584510.JPG'
