Species_ID;;Clade
Akodon_toba;'Akodon toba FMNH 164178.JPG';Clade B
Akodon_toba;'Akodon toba FMNH 164179.JPG';Clade B
Akodon_toba;'Akodon toba FMNH 164180.JPG';Clade B
Akodon_toba;'Akodon toba FMNH 46161.JPG';Clade B
Akodon_torques;'Akodon torques FMNH 170501.JPG';Clade B
Akodon_torques;'Akodon torques FMNH 170503.JPG';Clade B
Akodon_torques;'Akodon torques FMNH 170506.JPG';Clade B
Akodon_torques;'Akodon torques FMNH 170509.JPG';Clade B
Akodon_torques;'Akodon torques FMNH 170510.JPG';Clade B
Akodon_torques;'Akodon torques FMNH 170517.JPG';Clade B
Akodon_torques;'Akodon torques FMNH 170519.JPG';Clade B
Akodon_torques;'Akodon torques FMNH 170523.JPG';Clade B
Akodon_torques;'Akodon torques FMNH 171861.JPG';Clade B
Akodon_torques;'Akodon torques FMNH 171862.JPG';Clade B
Akodon_torques;'Akodon torques FMNH 172221.JPG';Clade B
Akodon_torques;'Akodon torques FMNH 172225.JPG';Clade B
Akodon_torques;'Akodon torques FMNH 43366.JPG';Clade B
Akodon_torques;'Akodon torques FMNH 43367.JPG';Clade B
Akodon_torques;'Akodon torques FMNH 43368.JPG';Clade B
Akodon_varius;'Akodon varius AMNH 38667.JPG';Clade B
Akodon_varius;'Akodon varius AMNH 38670.JPG';Clade B
Akodon_varius;'Akodon varius AMNH 38674.JPG';Clade B
Akodon_varius;'Akodon varius AMNH 38675.JPG';Clade B
Akodon_varius;'Akodon varius FMNH 50160.JPG';Clade B
Akodon_varius;'Akodon varius FMNH 50981.JPG';Clade B
Bibimys_chacoensis;'Bibimys chacoensis USNM 236239.JPG';Clade A
Bibimys_labiosus;'Bibimys labiosus MCNM 2198.JPG';Clade A
Bibimys_labiosus;'Bibimys labiosus MCNM 2827.JPG';Clade A
Bibimys_labiosus;'Bibimys labiosus MCNM 2829.JPG';Clade A
Bibimys_labiosus;'Bibimys labiosus MCNM 2833.JPG';Clade A
Bibimys_labiosus;'Bibimys labiosus MCNM 2838.JPG';Clade A
Bibimys_labiosus;'Bibimys labiosus MN 62395.JPG';Clade A
Bibimys_labiosus;'Bibimys labiosus MN 62601.JPG';Clade A
Bibimys_labiosus;'Bibimys labiosus PRG 1034.JPG';Clade A
Blarinomys_breviceps;'Blarinomys breviceps MCNM 1377.JPG';Clade A
Blarinomys_breviceps;'Blarinomys breviceps MCNM 1472.JPG';Clade A
Blarinomys_breviceps;'Blarinomys breviceps MCNM 2197.JPG';Clade A
Blarinomys_breviceps;'Blarinomys breviceps MCNM 2534.JPG';Clade A
Blarinomys_breviceps;'Blarinomys breviceps MCNM 2846.JPG';Clade A
Blarinomys_breviceps;'Blarinomys breviceps MCNM 3332.JPG';Clade A
Blarinomys_breviceps;'Blarinomys breviceps MN 13353.JPG';Clade A
Blarinomys_breviceps;'Blarinomys breviceps MN 29446.JPG';Clade A
Blarinomys_breviceps;'Blarinomys breviceps MN 29461.JPG';Clade A
Blarinomys_breviceps;'Blarinomys breviceps MN 29466.JPG';Clade A
Blarinomys_breviceps;'Blarinomys breviceps MN 37030.JPG';Clade A
Blarinomys_breviceps;'Blarinomys breviceps MN 71837.JPG';Clade A
Blarinomys_breviceps;'Blarinomys breviceps MN 77786.JPG';Clade A
Brucepattersonius_soricinus;'Brucepattersonius soricinus FMNH 230356.JPG';Clade A
Brucepattersonius_soricinus;'Brucepattersonius soricinus type FMNH 94480.JPG';Clade A
Castoria_angustidens;'Castoria angustidens FMNH 230337.JPG';Clade B
Castoria_angustidens;'Castoria angustidens FMNH 230338.JPG';Clade B
Castoria_angustidens;'Castoria angustidens FMNH 230339.JPG';Clade B
Castoria_angustidens;'Castoria angustidens FMNH 230342.JPG';Clade B
Castoria_angustidens;'Castoria angustidens FMNH 230345.JPG';Clade B
Castoria_angustidens;'Castoria angustidens FMNH 230346.JPG';Clade B
Castoria_angustidens;'Castoria angustidens FMNH 230350.JPG';Clade B
Castoria_angustidens;'Castoria angustidens FMNH 230351.JPG';Clade B
Castoria_angustidens;'Castoria angustidens FMNH 230352.JPG';Clade B
Castoria_angustidens;'Castoria angustidens FMNH 230353.JPG';Clade B
Deltamys_kempi;'Deltamys kempi AMNH 206097.JPG';Clade B
Deltamys_kempi;'Deltamys kempi AMNH 206102.JPG';Clade B
Deltamys_kempi;'Deltamys kempi AMNH 206115.JPG';Clade B
Deltamys_kempi;'Deltamys kempi AMNH 206117.JPG';Clade B
Deltamys_kempi;'Deltamys kempi AMNH 206118.JPG';Clade B
Deltamys_kempi;'Deltamys kempi AMNH 206119.JPG';Clade B
Deltamys_kempi;'Deltamys kempi AMNH 206120.JPG';Clade B
Deltamys_kempi;'Deltamys kempi AMNH 206121.JPG';Clade B
Deltamys_kempi;'Deltamys kempi AMNH 206139.JPG';Clade B
Deltamys_kempi;'Deltamys kempi AMNH 206140.JPG';Clade B
Deltamys_kempi;'Deltamys kempi AMNH 206142.JPG';Clade B
Deltamys_kempi;'Deltamys kempi AMNH 206157.JPG';Clade B
Deltamys_kempi;'Deltamys kempi AMNH 206158.JPG';Clade B
Deltamys_kempi;'Deltamys kempi AMNH 206159.JPG';Clade B
Deltamys_kempi;'Deltamys kempi AMNH 206161.JPG';Clade B
Juscelinomys_huanchacae;'Juscelinomys huanchacae USNM 584508.JPG';Clade B
Juscelinomys_huanchacae;'Juscelinomys huanchacae USNM 584509.JPG';Clade B
