generation,N_shifts,logPrior,logLik,eventRate,acceptRate
7180000,1,-7.9942,-106.036,2.02421,0.4055
7200000,1,-7.52403,-104.485,1.05911,0.43825
7220000,0,-2.66196,-106.582,0.385304,0.4465
7240000,0,-3.28786,-103.83,0.916259,0.4357
7260000,1,-6.77614,-104.511,0.306375,0.429
7280000,0,-2.42902,-103.377,0.249081,0.4035
7300000,0,-2.62556,-104.947,0.155662,0.355
7320000,0,-3.07654,-105.672,0.213344,0.423875
7340000,0,-2.19044,-103.406,0.0736079,0.444
7360000,0,-2.35125,-104.154,0.195899,0.4615
7380000,0,-2.60273,-106.436,0.167254,0.4155
7400000,0,-7.94272,-103.785,0.524884,0.45375
7420000,0,-3.94192,-104.378,0.198614,0.43925
7440000,0,-2.83181,-103.941,0.560521,0.458125
7460000,0,-2.19788,-103.618,0.0622805,0.4865
7480000,0,-3.81392,-103.661,1.58795,0.4865
7500000,0,-3.21045,-106.182,0.438195,0.4645
7520000,0,-2.83907,-103.677,0.492136,0.4335
7540000,0,-2.43678,-104.408,0.223163,0.504813
7560000,1,-8.59203,-110.961,2.36997,0.453375
7580000,0,-3.73898,-104.518,0.293906,0.464
7600000,0,-3.23958,-105.6,0.367023,0.4555
7620000,0,-3.05993,-104.494,0.222198,0.4185
7640000,1,-6.50915,-101.549,1.8931,0.4385
7660000,0,-2.77032,-104.426,0.109556,0.4395
7680000,0,-2.52491,-103.491,0.380391,0.464
7700000,0,-2.35288,-103.776,0.0817226,0.523875
7720000,0,-2.19303,-105.033,0.00228516,0.440667
7740000,1,-9.02243,-95.9366,1.0499,0.43275
7760000,0,-3.57014,-105.779,1.24841,0.397
7780000,1,-5.91245,-104.795,0.36138,0.453
7800000,0,-2.58581,-105.01,0.0324969,0.42
7820000,0,-2.85411,-106.105,0.427573,0.4367
7840000,1,-7.71003,-102.745,1.22718,0.452333
7860000,1,-5.09218,-103.396,0.238122,0.567167
7880000,0,-2.75228,-104.558,0.400232,0.4765
7900000,0,-2.62616,-103.574,0.107099,0.441167
7920000,0,-2.56661,-105.154,0.188443,0.5195
7940000,0,-5.59025,-104.228,0.881966,0.4405
7960000,1,-11.2688,-104.22,1.48775,0.438
7980000,0,-3.02981,-106.597,0.691092,0.4335
8000000,0,-2.29961,-103.25,0.167546,0.513
8020000,0,-3.04887,-107.837,0.0668162,0.3975
8040000,0,-3.43802,-107.809,0.992949,0.447857
8060000,0,-2.8324,-105.206,0.591235,0.42925
8080000,1,-5.04157,-103.149,0.784169,0.4321
8100000,2,-13.9221,-107.383,0.405083,0.445
8120000,1,-5.86963,-103.155,0.974586,0.432
8140000,0,-3.47853,-104.144,1.32212,0.3845
8160000,2,-9.75822,-103.943,0.816155,0.444333
8180000,1,-5.47353,-102.321,0.488367,0.575375
8200000,0,-3.21558,-108.355,0.366785,0.4295
8220000,0,-2.83219,-105.131,0.509215,0.44225
8240000,0,-4.66931,-105.835,1.72256,0.449
8260000,0,-2.49051,-106.985,0.231732,0.4335
8280000,0,-2.60908,-105.966,0.232028,0.484625
8300000,1,-4.61262,-104.558,0.179509,0.489
8320000,0,-2.20967,-104.756,0.00404374,0.394
8340000,0,-2.80804,-103.761,0.363597,0.4525
8360000,1,-6.74999,-104.582,0.532119,0.4885
8380000,0,-3.82499,-103.625,0.989921,0.483083
8400000,0,-2.93539,-106.322,0.665382,0.48625
8420000,2,-11.6095,-104.549,1.34693,0.4824
8440000,0,-2.29586,-105.575,0.0424755,0.443875
8460000,0,-2.65429,-104.489,0.350271,0.4355
8480000,0,-2.60459,-103.939,0.0857221,0.449429
8500000,0,-2.3686,-104.769,0.0391477,0.465333
8520000,1,-5.94775,-104.712,1.15583,0.5145
8540000,0,-3.31031,-104.522,0.484446,0.433833
8560000,0,-3.30093,-107.394,0.569932,0.452375
8580000,0,-2.50306,-106.313,0.141401,0.465625
8600000,0,-5.28705,-103.267,0.207278,0.4375
8620000,0,-2.85271,-104.694,0.421759,0.3715
8640000,0,-2.98343,-105.365,0.74082,0.364
8660000,2,-8.99163,-103.31,0.443829,0.583
8680000,1,-8.1274,-107.261,1.90153,0.4155
8700000,0,-2.98465,-103.467,0.857287,0.47175
8720000,0,-3.0662,-103.665,0.598591,0.4295
8740000,0,-3.39021,-105.932,1.01588,0.419
8760000,0,-2.65529,-103.588,0.391241,0.4295
8780000,0,-3.82914,-103.82,0.561695,0.4545
8800000,0,-2.37248,-103.728,0.191508,0.4945
8820000,1,-6.89783,-101.213,0.0792785,0.4805
8840000,0,-2.91215,-106.117,0.40018,0.4325
8860000,0,-2.3777,-104.673,0.151098,0.43825
8880000,0,-2.53344,-104.134,0.337385,0.493
8900000,0,-3.10154,-105.945,0.608032,0.37
8920000,1,-6.3714,-103.301,0.615747,0.4765
8940000,0,-2.43238,-103.32,0.0586676,0.503667
8960000,0,-5.56504,-106.613,3.11968,0.465
8980000,3,-12.3319,-105.288,1.09834,0.47625
9000000,1,-6.99967,-105.537,0.41323,0.52
9020000,0,-3.48487,-106.13,0.805318,0.4265
9040000,0,-2.32447,-103.336,0.216764,0.49
9060000,0,-3.37315,-104.504,1.22864,0.417
9080000,0,-2.93676,-103.92,0.563046,0.456
9100000,0,-2.63401,-104.2,0.473881,0.45475
9120000,0,-2.72292,-104.86,0.489448,0.473625
9140000,0,-2.99274,-103.99,0.424463,0.4365
9160000,1,-8.59766,-104.186,1.18907,0.470458
9180000,0,-2.14611,-103.49,0.00361665,0.4985
9200000,0,-3.0987,-105.077,0.574414,0.4095
9220000,0,-2.41251,-105.023,0.225044,0.440857
9240000,0,-3.27606,-103.755,0.823051,0.469313
9260000,0,-3.18973,-107.26,0.0587416,0.44
9280000,1,-5.91278,-106.458,1.09216,0.44575
9300000,2,-15.2977,-106.383,0.406443,0.43
9320000,1,-10.04,-110.597,1.17244,0.43975
9340000,0,-3.71975,-104.295,0.343122,0.4475
9360000,1,-6.22941,-102.888,1.12673,0.427875
9380000,0,-2.36368,-104.468,0.0301955,0.445105
