generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
3660000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.733543,-0.0124339,0.155656,0
3660000,Akodon_affinis,NA,6.58073,4.55598,0.0800555,0.948608,0
3680000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.475142,0.0642418,0.0135811,0
3700000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.618907,-0.00270746,0.045615,0
3720000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.393612,0.0667746,0.117156,0
3720000,Oxymycterus_rufus,Oxymycterus_paramensis,5.1031,1.10292,0.194404,0.926005,0
3740000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.671709,-0.0349642,0.0263927,0
3760000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.815086,-0.0948195,0.109493,0
3780000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.33821,-0.137759,0.0913691,0
3800000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.671132,-0.0153688,0.0577274,0
3820000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.439681,0.0872774,0.0145484,0
3840000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.338442,0.308483,0.0758531,0
3860000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.6824,-0.149237,0.54745,0
3880000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.346638,0.402407,0.00746678,0
3900000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.527024,0.0138297,0.00521803,0
3920000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.737322,-0.112494,0.023914,0
3920000,Necromys_urichi,NA,5.71764,0.639244,0.0260001,0.951533,0
3920000,Castoria_angustidens,NA,4.78424,1.98363,0.128801,2.05701,0
3940000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.378024,0.123921,0.0812713,0
3960000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.353173,0.275662,0.00304943,0
3960000,Blarinomys_breviceps,NA,6.4624,4.65147,-0.0676394,2.69795,0
3980000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.36513,0.210189,0.0450969,0
3980000,Bibimys_chacoensis,Bibimys_labiosus,5.74146,1.09149,-0.0612949,2.40692,0
4000000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.16733,-0.131685,0.0596685,0
4000000,Thalpomys_cerradensis,NA,6.2454,2.74847,-0.184733,2.03826,0
4000000,Brucepattersonius_soricinus,NA,6.4232,2.12775,0.0192004,0.239649,0
4020000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.321186,0.298861,0.0565613,0
4040000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.570765,0.0190594,0.159849,0
4040000,Bibimys_chacoensis,Bibimys_labiosus,4.68547,0.257241,0.133442,1.35846,0
4060000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.358831,0.225484,0.00428073,0
4080000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.705892,-0.03298,0.079314,0
4100000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.334305,0.187937,0.011848,0
4120000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.335269,0.30864,0.0308622,0
4120000,Blarinomys_breviceps,NA,6.19393,0.792024,-0.19683,0.439619,0
4140000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.661922,-0.0335511,0.00482927,0
4160000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.501672,0.0896324,0.0864097,0
4180000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.265787,0.312034,0.00704302,0
4200000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.379725,0.215987,0.0716539,0
4200000,Podoxymys_roraimae,NA,6.51494,0.5862,0.0790847,3.28647,0
